Element ID	Element Name	Description
4.A.3.a.2.y.1	Engrave designs, text, or other markings onto materials, workpieces, or products.	
4.A.3.a.2.z	Embalm corpses.	
4.A.3.a.2.z.1	Embalm corpses.	
4.A.3.a.2.aa	Fabricate devices or components.	
4.A.3.a.2.aa.1	Fabricate devices or components.	
4.A.3.a.2.aa.2	Fabricate parts or components.	
4.A.3.a.2.aa.3	Fabricate products or components using machine tools.	
4.A.3.a.2.ab	Create decorative objects or parts of objects.	
4.A.3.a.2.ab.1	Attach decorative or functional accessories to products.	
4.A.3.a.2.ab.2	Construct distinctive physical objects for artistic, functional, or commercial purposes.	
4.A.3.a.2.ac	Process animal carcasses.	
4.A.3.a.2.ac.1	Slaughter animals.	
4.A.3.a.2.ac.2	Remove skin or other body parts from animals.	
4.A.3.a.2.ac.3	Process animal carcasses.	
4.A.3.a.2.ad	Drill holes in earth or materials.	
4.A.3.a.2.ad.1	Drill holes in earth or rock.	
4.A.3.a.2.ad.2	Drill holes in construction materials.	
4.A.3.a.2.ad.3	Drill holes in parts, equipment, or materials.	
4.A.3.a.2.ae	Groom or style hair.	
4.A.3.a.2.ae.1	Groom wigs or hairpieces.	
4.A.3.a.2.ae.2	Trim client hair.	
4.A.3.a.2.af	Set up classrooms, facilities, educational materials, or equipment.	
4.A.3.a.2.af.1	Set up classroom materials or equipment.	
4.A.3.a.2.af.2	Arrange childcare or educational settings to ensure physical safety of children.	
4.A.3.a.2.af.3	Display student work.	
4.A.3.a.2.ag	Apply protective solutions or coatings.	
4.A.3.a.2.ag.1	Treat facilities to eliminate pests.	
4.A.3.a.2.ag.2	Paint surfaces or equipment.	
4.A.3.a.2.ag.3	Apply paint to surfaces.	
4.A.3.a.2.ag.4	Refinish wood or metal surfaces.	
4.A.3.a.2.ag.5	Apply chemical solutions to plants to protect against disease or insects or to enhance growth.	
4.A.3.a.2.ag.6	Apply protective or decorative finishes to workpieces or products.	
4.A.3.a.2.ag.7	Treat greenery or surfaces with protective substances.	
4.A.3.a.2.ag.8	Apply solutions to production equipment.	
4.A.3.a.2.ag.9	Apply sealants or other protective coatings.	
4.A.3.a.2.ah	Connect components or supply lines to equipment or tools.	
4.A.3.a.2.ah.1	Connect hoses to equipment or machinery.	
4.A.3.a.2.ah.2	Rewire electrical or electronic systems.	
4.A.3.a.2.ah.3	Connect hoses to equipment or piping.	
4.A.3.a.2.ah.4	Lay cables to connect equipment.	
4.A.3.a.2.ah.5	Thread wire or cable through ducts or conduits.	
4.A.3.a.2.ah.6	Run wiring to connect equipment.	
4.A.3.a.2.ah.7	Connect electrical components or equipment.	
4.A.3.a.2.ah.8	Connect supply lines to production equipment or tools.	
4.A.3.a.2.ah.9	Connect cables or electrical lines.	
4.A.3.a.2.ai	Join parts using soldering, welding, or brazing techniques.	
4.A.3.a.2.ai.1	Solder parts or workpieces.	
4.A.3.a.2.ai.2	Weld metal components.	
4.A.3.a.2.ai.3	Solder parts or connections between parts.	
4.A.3.a.2.ai.4	Braze metal parts or components.	
4.A.3.a.2.ai.5	Operate welding equipment.	
4.A.3.a.2.ai.6	Rivet metal components.	
4.A.3.a.2.aj	Assemble products or work aids.	
4.A.3.a.2.aj.1	Build models, patterns, or templates.	
4.A.3.a.2.aj.2	Assemble garments or textile products.	
4.A.3.a.2.aj.3	Build production molds.	
4.A.3.a.2.aj.4	Assemble wood products.	
4.A.3.a.2.aj.5	Build construction forms or molds.	
4.A.3.a.2.aj.6	Assemble tires.	
4.A.3.a.2.aj.7	Construct patterns, templates, or other work aids.	
4.A.3.a.2.aj.8	Assemble metal or plastic parts or products.	
4.A.3.a.2.ak	Stock supplies or products.	
4.A.3.a.2.ak.1	Stock products or parts.	
4.A.3.a.2.ak.2	Stock medical or patient care supplies.	
4.A.3.a.2.ak.3	Store records or related materials.	
4.A.3.a.2.ak.4	Store supplies or goods in kitchens or storage areas.	
4.A.3.a.2.ak.5	Stock serving stations or dining areas with food or supplies.	
4.A.3.a.2.ak.6	Stock supplies or merchandise.	
4.A.3.a.2.ak.7	Store items.	
4.A.3.a.2.al	Collect environmental or biological samples.	
4.A.3.a.2.al.1	Collect biological specimens from patients.	
4.A.3.a.2.al.2	Collect biological specimens.	
4.A.3.a.2.al.3	Collect geographical or geological field data.	
4.A.3.a.2.al.4	Collect geological samples.	
4.A.3.a.2.al.5	Collect environmental data or samples.	
4.A.3.a.2.am	Apply materials to fill gaps or imperfections.	
4.A.3.a.2.am.1	Apply mortar.	
4.A.3.a.2.am.2	Seal gaps or cracks to prevent leakage or moisture intrusion.	
4.A.3.a.2.am.3	Fill cracks, imperfections, or holes in products or workpieces.	
4.A.3.a.2.am.4	Apply material to fill gaps in surfaces.	
4.A.3.a.2.an	Remove workpieces from production equipment.	
4.A.3.a.2.an.1	Apply parting agents or other solutions to molds.	
4.A.3.a.2.an.2	Remove workpieces from molds.	
4.A.3.a.2.an.3	Remove products or workpieces from production equipment.	
4.A.3.a.2.ao	Position materials or components for assembly.	
4.A.3.a.2.ao.1	Align equipment or machinery.	
4.A.3.a.2.ao.2	Lay out parts to prepare for assembly.	
4.A.3.a.2.ao.3	Position structural components.	
4.A.3.a.2.ao.4	Align parts or workpieces to ensure proper assembly.	
4.A.3.a.2.ao.5	Mark reference points on construction materials.	
4.A.3.a.2.ao.6	Lay out work according to specifications.	
4.A.3.a.2.ao.7	Align masonry materials.	
4.A.3.a.2.ao.8	Draw guide lines or markings on materials or workpieces using patterns or other references.	
4.A.3.a.2.ap	Package objects.	
4.A.3.a.2.ap.1	Package agricultural products for shipment or further processing.	
4.A.3.a.2.ap.2	Package products for storage or shipment.	
4.A.3.a.2.ap.3	Package food or supplies.	
4.A.3.a.2.ap.4	Package materials for transport.	
4.A.3.a.2.ap.5	Package materials or products.	
4.A.3.a.2.ap.6	Package objects for shipping.	
4.A.3.a.2.aq	Install plumbing or piping equipment or systems.	
4.A.3.a.2.aq.1	Install green plumbing or water handling systems.	
4.A.3.a.2.aq.2	Install piping for installation or maintenance activities.	
4.A.3.a.2.aq.3	Install plumbing or piping.	
4.A.3.a.2.ar	Hunt animals.	
4.A.3.a.2.ar.1	Locate animals for fishing or hunting purposes.	
4.A.3.a.2.ar.2	Capture or kill animals.	
4.A.3.a.2.as	Apply decorative finishes.	
4.A.3.a.2.as.1	Apply decorative masonry finishes.	
4.A.3.a.2.as.2	Apply finishes to artwork, crafts, or displays.	
4.A.3.a.2.as.3	Apply decorative or textured finishes or coverings.	
4.A.3.a.2.as.4	Apply decorative coloring to photographs or printed materials.	
4.A.3.a.2.at	Set up equipment.	
4.A.3.a.2.at.1	Install equipment attachments or components.	
4.A.3.a.2.at.2	Set up material handling gear or equipment, such as rigging, packaging, or temporary structures.	
4.A.3.a.2.at.3	Attach rigging to objects so they can be moved.	
4.A.3.a.2.at.4	Prepare film for distribution or use.	
4.A.3.a.2.at.5	Set equipment guides, stops, spacers, or other fixtures.	
4.A.3.a.2.at.6	Set up still or video cameras or related equipment.	
4.A.3.a.2.at.7	Prepare hoses or water supplies to fight fires.	
4.A.3.a.2.at.8	Install mechanical components in production equipment.	
4.A.3.a.2.at.9	Attach equipment extensions or accessories.	
4.A.3.a.2.at.10	Set up laboratory or field equipment.	
4.A.3.a.2.at.11	Set up mechanical equipment.	
4.A.3.a.2.at.12	Set up production or processing equipment.	
4.A.3.a.2.au	Prepare specimens or materials for testing.	
4.A.3.a.2.au.1	Cultivate micro-organisms for study, testing, or medical preparations.	
4.A.3.a.2.au.2	Prepare biological specimens for laboratory analysis.	
4.A.3.a.2.au.3	Prepare biological samples for testing or analysis.	
4.A.3.a.2.au.4	Prepare compounds or solutions for products or testing.	
4.A.3.a.2.au.5	Prepare products for testing.	
4.A.3.a.3	Controlling Machines and Processes	Using either control mechanisms or direct physical activity to operate machines or processes (not including computers or vehicles).
4.A.3.a.3.a	Operate office equipment.	
4.A.3.a.3.a.1	Operate office equipment.	
4.A.3.a.3.b	Operate pumping systems or equipment.	
4.A.3.a.3.b.1	Operate pumping systems or equipment.	
4.A.3.a.3.b.2	Operate pumps or compressors.	
4.A.3.a.3.b.3	Control pumps or pumping equipment.	
4.A.3.a.3.c	Operate construction or excavation equipment.	
4.A.3.a.3.c.1	Operate drilling equipment.	
4.A.3.a.3.c.2	Operate heavy-duty construction or installation equipment.	
4.A.3.a.3.c.3	Operate mining equipment.	
4.A.3.a.3.c.4	Operate excavation equipment.	
4.A.3.a.3.c.5	Break up rock, asphalt, or concrete.	
4.A.3.a.3.c.6	Operate road-surfacing equipment.	
4.A.3.a.3.c.7	Operate equipment or vehicles to clear construction sites or move materials.	
4.A.3.a.3.c.8	Operate detonation equipment.	
4.A.3.a.3.d	Operate medical equipment.	
4.A.3.a.3.d.1	Process x-rays or other medical images.	
4.A.3.a.3.d.2	Create advanced digital images of patients using computer imaging systems.	
4.A.3.a.3.d.3	Operate diagnostic or therapeutic medical instruments or equipment.	
4.A.3.a.3.d.4	Operate diagnostic imaging equipment.	
4.A.3.a.3.d.5	Operate medical equipment.	
4.A.3.a.3.e	Operate audiovisual or related equipment.	
4.A.3.a.3.e.1	Operate control consoles for sound, lighting or video.	
4.A.3.a.3.e.2	Operate surveillance equipment to detect suspicious or illegal activities.	
4.A.3.a.3.e.3	Operate audiovisual equipment.	
4.A.3.a.3.e.4	Operate still or video cameras or related equipment.	
4.A.3.a.3.e.5	Operate audio-visual equipment.	
4.A.3.a.3.e.6	Operate audio recording equipment.	
4.A.3.a.3.f	Operate industrial processing or production equipment.	
4.A.3.a.3.f.1	Operate chemical processing or water treatment systems or equipment.	
4.A.3.a.3.f.2	Operate painting or coating equipment.	
4.A.3.a.3.f.3	Operate recycling equipment.	
4.A.3.a.3.f.4	Operate packing or other material processing equipment.	
4.A.3.a.3.f.5	Smooth garments with irons, presses, or steamers.	
4.A.3.a.3.f.6	Operate cooking, baking, or other food preparation equipment.	
4.A.3.a.3.f.7	Operate heating or drying equipment.	
4.A.3.a.3.f.8	Operate mixing equipment.	
4.A.3.a.3.f.9	Operate conveyors or other industrial material moving equipment.	
4.A.3.a.3.f.10	Operate photographic developing or print production equipment.	
4.A.3.a.3.f.11	Operate equipment to print images or bind printed images together.	
4.A.3.a.3.f.12	Operate metal or plastic forming equipment.	
4.A.3.a.3.f.13	Operate industrial equipment.	
4.A.3.a.3.g	Operate energy production or distribution equipment.	
4.A.3.a.3.g.1	Operate energy production equipment.	
4.A.3.a.3.g.2	Operate natural gas generation equipment.	
4.A.3.a.3.g.3	Operate biomass or biofuel production equipment.	
4.A.3.a.3.g.4	Operate green energy production equipment.	
4.A.3.a.3.g.5	Operate energy distribution equipment.	
4.A.3.a.3.g.6	Operate natural gas distribution equipment.	
4.A.3.a.3.h	Operate lifting or moving equipment.	
4.A.3.a.3.h.1	Operate forklifts or other loaders.	
4.A.3.a.3.h.2	Lift materials or workpieces using cranes or other lifting equipment.	
4.A.3.a.3.h.3	Operate cranes, hoists, or other moving or lifting equipment.	
4.A.3.a.3.i	Operate laboratory or field equipment.	
4.A.3.a.3.i.1	Operate laboratory or field equipment.	
4.A.3.a.3.i.2	Operate precision equipment to control microscopic or nanoscopic processes.	
4.A.3.a.3.i.3	Operate laboratory equipment to analyze medical samples.	
4.A.3.a.3.j	Operate communications equipment or systems.	
4.A.3.a.3.j.1	Operate communications equipment or systems.	
4.A.3.a.3.j.2	Operate communications, transmissions, or broadcasting equipment.	
4.A.3.a.3.k	Operate agricultural or forestry equipment.	
4.A.3.a.3.k.1	Operate irrigation systems.	
4.A.3.a.3.k.2	Operate forestry equipment.	
4.A.3.a.3.k.3	Operate grounds maintenance equipment.	
4.A.3.a.3.k.4	Operate farming equipment.	
4.A.3.a.3.l	Operate cutting or grinding equipment.	
4.A.3.a.3.l.1	Operate grinding equipment.	
4.A.3.a.3.l.2	Operate cutting equipment.	
4.A.3.a.3.l.3	Operate woodworking equipment.	
4.A.3.a.3.l.4	Operate textile cutting or production equipment.	
4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment	Running, maneuvering, navigating, or driving vehicles or mechanized equipment, such as forklifts, passenger vehicles, aircraft, or watercraft.
4.A.3.a.4.a	Operate transportation equipment or vehicles.	
4.A.3.a.4.a.1	Operate ships or other watercraft.	
4.A.3.a.4.a.2	Navigate water vessels.	
4.A.3.a.4.a.3	Drive vehicles to transport individuals or equipment.	
4.A.3.a.4.a.4	Follow safety procedures for vehicle operation.	
4.A.3.a.4.a.5	Travel to work sites to perform installation, repair or maintenance work.	
4.A.3.a.4.a.6	Operate vehicles or material-moving equipment.	
4.A.3.a.4.a.7	Operate transportation equipment to demonstrate function or malfunction.	
4.A.3.a.4.a.8	Control equipment that regulates vehicle traffic.	
4.A.3.a.4.a.9	Drive vehicles to transport patrons.	
4.A.3.a.4.a.10	Drive trucks or truck-mounted equipment.	
4.A.3.a.4.a.11	Pilot aircraft.	
4.A.3.a.4.a.12	Drive trucks or other vehicles to or at work sites.	
4.A.3.a.4.a.13	Operate locomotives or other rail vehicles.	
4.A.3.a.4.a.14	Drive passenger vehicles.	
4.A.3.b	Performing Complex and Technical Activities	What skilled activities using coordinated movements are done to perform this job?
4.A.3.b.1	Working with Computers	Using computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information.
4.A.3.b.1.a	Program computer systems or production equipment.	
4.A.3.b.1.a.1	Enter commands, instructions, or specifications into equipment.	
4.A.3.b.1.a.2	Program equipment to perform production tasks.	
4.A.3.b.1.a.3	Write computer programming code.	
4.A.3.b.1.a.4	Program robotic equipment.	
4.A.3.b.1.b	Implement security measures for computer or information systems.	
4.A.3.b.1.b.1	Implement security measures for computer or information systems.	
4.A.3.b.1.b.2	Create electronic data backup to prevent loss of information.	
4.A.3.b.1.c	Set up computer systems, networks, or other information systems.	
4.A.3.b.1.c.1	Install computer software.	
4.A.3.b.1.c.2	Install computer hardware.	
4.A.3.b.1.c.3	Install programs onto computer or computer-controlled equipment.	
4.A.3.b.1.c.4	Configure computer networks.	
4.A.3.b.1.d	Resolve computer problems.	
4.A.3.b.1.d.1	Resolve computer network problems.	
4.A.3.b.1.d.2	Troubleshoot issues with computer applications or systems.	
4.A.3.b.1.d.3	Resolve computer software problems.	
4.A.3.b.1.e	Operate computer systems or computerized equipment.	
4.A.3.b.1.e.1	Operate computers or computerized equipment.	
4.A.3.b.1.e.2	Operate computer systems.	
4.A.3.b.1.f	Process digital or online data.	
4.A.3.b.1.f.1	Load digital images onto computers or websites.	
4.A.3.b.1.f.2	Operate digital imaging equipment.	
4.A.3.b.1.f.3	Enter patient or treatment data into computers.	
4.A.3.b.1.f.4	Update website content.	
4.A.3.b.1.f.5	Update computer database information.	
4.A.3.b.1.f.6	Enter information into databases or software programs.	
4.A.3.b.1.f.7	Prepare data for analysis.	
4.A.3.b.1.f.8	Code data or other information.	
4.A.3.b.1.f.9	Download data.	
4.A.3.b.1.f.10	Enter codes or other information into computers.	
4.A.3.b.1.f.11	Convert data among multiple digital or analog formats.	
4.A.3.b.1.f.12	Format digital documents, data, or images.	
4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	Providing documentation, detailed instructions, drawings, or specifications to tell others about how devices, parts, equipment, or structures are to be fabricated, constructed, assembled, modified, maintained, or used.
4.A.3.b.2.a	Develop technical specifications for products or operations.	
4.A.3.b.2.a.1	Determine design criteria or specifications.	
4.A.3.b.2.a.2	Develop specifications for new products or processes.	
4.A.3.b.2.a.3	Develop specifications or procedures for website development or maintenance.	
4.A.3.b.2.a.4	Develop technical specifications for systems or equipment.	
4.A.3.b.2.a.5	Develop specifications for computer network operation.	
4.A.3.b.2.a.6	Determine operational criteria or specifications.	
4.A.3.b.2.a.7	Develop performance metrics or standards related to information technology.	
4.A.3.b.2.b	Design structures or facilities.	
4.A.3.b.2.b.1	Plan facility layouts or designs.	
4.A.3.b.2.b.2	Incorporate green features into the design of structures or facilities.	
4.A.3.b.2.b.3	Design civil structures or systems.	
4.A.3.b.2.b.4	Design structures or facilities.	
4.A.3.b.2.b.5	Design furniture.	
4.A.3.b.2.c	Design industrial systems or equipment.	
4.A.3.b.2.c.1	Design industrial processing systems.	
4.A.3.b.2.c.2	Develop equipment or component configurations.	
4.A.3.b.2.c.3	Design industrial equipment.	
4.A.3.b.2.c.4	Design energy production or management equipment or systems.	
4.A.3.b.2.c.5	Design tools, fixtures, or other devices for production equipment.	
4.A.3.b.2.c.6	Design control systems for mechanical or other equipment.	
4.A.3.b.2.d	Develop models of systems, processes, or products.	
4.A.3.b.2.d.1	Create models of engineering designs or methods.	
4.A.3.b.2.d.2	Develop models of information or communications systems.	
4.A.3.b.2.d.3	Create physical models or prototypes.	
